words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"epoch,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"flatten,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"get,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"import,dense",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"input,dense",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"keras,dense",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"layer,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"loss,dense",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"model,dense",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"network,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"numpy,dense",0.88,0.882351324,0.833333333,0.827586207,0.8,0.96,0.916666667
"output,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"print,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"return,dense",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"sequential,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"train,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"training,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"trying,dense",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"using,dense",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"x,dense",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"keras,dropout",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"dropout,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"sequential,dropout",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"else,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"return,else",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"epoch,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"keras,epoch",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"epoch,loss",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"epoch,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"epoch,print",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"epoch,sequential",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"epoch,train",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"epoch,training",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"using,epoch",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"epochs,loss",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"epochs,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"error,expected",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,file",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,following",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,function",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"get,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,got",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,gpu",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,help",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,however",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"error,input",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"keras,error",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"error,last",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"layer,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,like",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,line",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,loss",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"error,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"error,module",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,name",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,network",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"none,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,numpy",0.88,0.882351324,0.833333333,0.827586207,0.8,0.96,0.916666667
"error,output",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,print",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,problem",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,python",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,pytorch",0.88,0.881761221,0.833333333,0.814814815,0.769230769,1,0.916666667
"error,range",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,recent",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,return",0.853333333,0.857523738,0.833333333,0.75862069,0.72,0.96,0.916666667
"error,run",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,self",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,sequential",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"shape,error",0.906666667,0.906514307,0.833333333,0.88,0.769230769,1,1
"error,size",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"tensor,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,tensorflow",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"traceback,error",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,train",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,training",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"error,tried",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
